year,population
1990,250047.41666666666
1991,253391.83333333334
1992,256777.16666666666
1993,260146.41666666666
1994,263324.5833333333
1995,266458.1666666667
1996,269580.6666666667
1997,272822.0833333333
1998,276022.3333333333
1999,279194.9166666667
2000,282295.9166666667
2001,285215.9166666667
2002,288019.0
2003,290733.3333333333
2004,293388.5833333333
2005,296114.9166666667
2006,298929.9166666667
2007,301903.1666666667
2008,304718.0
2009,307373.75
2010,309755.6666666667
2011,312019.1666666667
2012,314283.75
2013,316476.1666666667
2014,318789.3333333333
2015,321080.0
2016,323298.4166666667
2017,325514.75
